"English","Dansk"
"API Details","API-detaljer"
"API Enabled","API aktiveret"
"API Token","API-token"
"API test connection failed","API-prøvetilslutning mislykkedes"
"API test connection successful","API-prøvetilslutning lykkedes"
"API","API"
"Agent Email Address","Agentens e-mailadresse"
"Agent Token","Agent-token"
"Are you sure you want to clear the entire Zendesk log?","Er du sikker på, at du vil rydde hele Zendesk-logfilen?"
"Assignee","Ansvarlig"
"Chat","Chat"
"Code to display Feedback Tab","Kode til visning af Feedback-fanen"
"Connection to Zendesk API failed","Tilslutning til Zendesk API mislykkedes"
"Connection to Zendesk API successful","Tilslutning til Zendesk API lykkedes"
"Create Ticket","Opret ticket"
"Create tickets from Contact Us form","Opret tickets fra formularen Kontakt os"
"Customize Feedback Tab","Brugerdefiner fanen Feedback"
"Dashboard","Panel"
"Decide which features you would like turned on in your Magento store.","Beslut hvilke funktioner, du vil aktivere i Magento-forretningen."
"Description","Beskrivelse"
"Display link to Zendesk in Magento footer","Vis link til Zendesk i Magent-sidefod"
"Email","E-mail"
"Facebook","Facebook"
"Features","Funktioner"
"Feedback Tab","Feedback-fane"
"File size too large - only showing the last %s lines. Click Download to retrieve the entire file.","Filstørrelse for stor – viser kun de sidste %s linjer. Klik på Download for at hente hele filen."
"General settings that are required to connect Zendesk and Magento.","Generelle indstillinger, der er nødvendige for at forbinde Zendesk og Magento."
"General","Generelt"
"Generate","Generer"
"Group","Gruppe"
"Haven't setup Zendesk yet? Follow our easy setup guide to start using Zendesk to support your customers.","Har du ikke installeret Zendesk endnu? Følg den brugervenlige installationsguide for at komme i gang med Zendesk og hjælpe dine kunder."
"High","Høj"
"Incident","Hændelse"
"Launch Zendesk","Start Zendesk"
"Low","Lav"
"New Support Ticket","Ny support-ticket"
"New","Ny"
"No tickets found","Der blev ikke fundet nogen tickets"
"No views selected. Please select one or more from the settings page.","Ingen views er valgt. Vælg et eller flere på siden med indstillinger."
"Normal","Normal"
"On-hold","I bero"
"Open","Åben"
"Order Number","Ordrenummer"
"Pending","Venter"
"Priority","Prioritet"
"Problem","Problem"
"Question","Spørgsmål"
"Remote Authentication Token","Remote Authentication-token"
"Remote Authentication Token","Remote Authentication-token"
"Requested","Anmodet"
"Requester Email","Anmoderens e-mail"
"Requester Name","Anmoderens navn"
"Requester Website","Anmoderens website"
"Requester","Anmoder"
"Required for Magento App inside Zendesk to work.","Nødvendig for at Magento App i Zendesk vil virke."
"Save Config","Gem konfiguration"
"Settings","Indstillinger"
"Setup guide","Installationsguide"
"Setup","Installation"
"Show support tickets on admin dashboard","Vis support-tickets på administratorpanel."
"Show support tickets on customer view","Vis support-tickets på brugerdefineret view"
"Show support tickets on order view","Vis support-tickets på ordre-view"
"Single Sign-on - Admins and Agents","Single Sign-on – Administratorer og agenter"
"Single Sign-on - End-users","Single Sign-on - Slutbrugere"
"Single Sign-on Enabled","Single Sign-on aktiveret"
"Single Sign-on Enabled","Single Sign-on aktiveret"
"Solved","Løst"
"Status","Status"
"Subject","Emne"
"Successfully generated a new API token","Genererede et nyt API-token."
"Support Channels","Supportkanaler"
"Support Tickets","Support-tickets"
"Task","Opgave"
"Test Connection","Prøvetilslutning"
"The Zendesk log file has not been created. Check to see if logging has been enabled.","Zendesk-logfilen er ikke blevet oprettet. Kontroller, om logføring er blevet aktiveret."
"Ticket #%s Created","Ticket #%s oprettet"
"To generate a token, log in to Zendesk then select Manage > Channels > API > Token","Du genererer et token ved at logge ind til Zendesk og dernæst vælge Administrer > Kanaler > API > Token"
"Troubleshooting tips can be found at <a href="%s">%s</a>","Der findes tip til fejlfinding på <a href="%s">%s</a>"
"Twitter","Twitter"
"Type","Type"
"Updated","Opdateret"
"Urgent","Haster"
"Use Magento to manage admin and agent authentication.","Brug Magento til at administrere administrator- og agentautentifikation."
"Use Magento to manage end-user authentication.","Brug Magento til at administrere slutbrugerautentifikation."
"Use Magento to manage user authentication.","Brug Magento til at administrere brugerautentifikation."
"Used to link order in Magento with tickets in Zendesk","Bruges til at sammenkæde ordre i Magento med tickets i Zendesk"
"View All Tickets","Vis alle tickets"
"View ticket in Zendesk","Vis ticket i Zendesk"
"Views to show on dashboards","Views, der skal vises på paneler"
"Voice","Voice"
"Web Portal","Webportal"
"Zendesk Domain","Zendesk-domæne"
"Zendesk Log Viewer","Zendesk-logfremviser"
"Zendesk Order Number field ID","Id til feltet Zendesk-ordrenummer"
"Zendesk SSO token not been set. Please add this to the settings page.","Zendesk SSO-token er ikke blevet angivet. Føj dette til siden med indstillinger."
"Zendesk allows your customers to contact you using the methods they prefer. Use the links below to configure the channels you would like to use.","Zendesk giver dine kunder mulighed for at kontakte dig ved hjælp af deres foretrukne metoder. Brug nedenstående links til at konfigurere de kanaler, som du vil bruge."
"Zendesk domain not set. Please add this to the settings page.","Zendesk-domæne ikke angivet. Føj dette til siden med indstillinger."
