"English","Deutsch"
"API Details","API-Details"
"API Enabled","API aktiviert"
"API Token","API-Token"
"API test connection failed","API-Testverbindung fehlgeschlagen"
"API test connection successful","API-Testverbindung erfolgreich"
"API","API"
"Agent Email Address","E-Mail-Adresse des Agenten"
"Agent Token","Agententoken"
"Are you sure you want to clear the entire Zendesk log?","Möchten Sie wirklich den gesamten Inhalt des Zendesk-Protokolls löschen?"
"Assignee","Mitarbeiter"
"Chat","Chat"
"Code to display Feedback Tab","Code zur Darstellung des Feedback-Menüs"
"Connection to Zendesk API failed","Verbindung zur Zendesk-API fehlgeschlagen"
"Connection to Zendesk API successful","Verbindung zur Zendesk-API erfolgreich"
"Create Ticket","Ticket erstellen"
"Create tickets from Contact Us form","Tickets aus Kontaktformular erstellen"
"Customize Feedback Tab","Feedback-Menü anpassen"
"Dashboard","Dashboard"
"Decide which features you would like turned on in your Magento store.","Geben Sie an, welche Funktionen in Ihrem Magento-Shop aktiviert werden sollen."
"Description","Beschreibung"
"Display link to Zendesk in Magento footer","Link zu Zendesk im Magento-Fußbereich anzeigen"
"Email","E-Mail"
"Facebook","Facebook"
"Features","Funktionen"
"Feedback Tab","Feedback-Menü"
"File size too large - only showing the last %s lines. Click Download to retrieve the entire file.","Datei zu groß – nur die letzten %s Zeilen werden angezeigt. Klicken Sie auf „Download“, um die gesamte Datei herunterzuladen."
"General settings that are required to connect Zendesk and Magento.","Allgemeine Einstellungen, die zur Verbindung von Zendesk und Magento erforderlich sind."
"General","Allgemein"
"Generate","Generieren"
"Group","Gruppe"
"Haven't setup Zendesk yet? Follow our easy setup guide to start using Zendesk to support your customers.","Sie haben Zendesk noch nicht eingerichtet? Befolgen Sie unsere Setup-Anleitung, um Ihre Kunden über Zendesk zu unterstützen."
"High","Hoch"
"Incident","Vorfall"
"Launch Zendesk","Zendesk starten"
"Low","Niedrig"
"New Support Ticket","Neues Supportticket"
"New","Neu"
"No tickets found","Keine Tickets gefunden"
"No views selected. Please select one or more from the settings page.","Keine Ansichten ausgewählt. Wählen Sie auf der Einstellungsseite eine oder mehrere Ansichten aus."
"Normal","Normal"
"On-hold","Angehalten"
"Open","Offen"
"Order Number","Bestellnummer"
"Pending","Wartend"
"Priority","Priorität"
"Problem","Problem"
"Question","Frage"
"Remote Authentication Token","Token zur Remoteauthentifizierung"
"Remote Authentication Token","Token zur Remoteauthentifizierung"
"Requested","Angefragt"
"Requester Email","E-Mail-Adresse des Anfragenden"
"Requester Name","Name des Anfragenden"
"Requester Website","Website des Anfragenden"
"Requester","Anfragender"
"Required for Magento App inside Zendesk to work.","Erforderlich, damit die Magento-App in Zendesk funktioniert."
"Save Config","Konfig. speichern"
"Settings","Einstellungen"
"Setup guide","Setup-Anleitung"
"Setup","Setup"
"Show support tickets on admin dashboard","Supporttickets in Admin-Dashboard anzeigen"
"Show support tickets on customer view","Supporttickets in Kundenansicht anzeigen"
"Show support tickets on order view","Supporttickets in Bestellansicht anzeigen"
"Single Sign-on - Admins and Agents","Single-Sign-On – Administratoren und Agenten"
"Single Sign-on - End-users","Single-Sign-On – Endbenutzer"
"Single Sign-on Enabled","Single-Sign-On aktiviert"
"Single Sign-on Enabled","Single-Sign-On aktiviert"
"Solved","Gelöst"
"Status","Status"
"Subject","Betreff"
"Successfully generated a new API token","Neues API-Token erfolgreich generiert"
"Support Channels","Supportkanäle"
"Support Tickets","Supporttickets"
"Task","Aufgabe"
"Test Connection","Verbindung testen"
"The Zendesk log file has not been created. Check to see if logging has been enabled.","Die Zendesk-Protokolldatei wurde nicht erstellt. Stellen Sie sicher, dass die Protokollierung aktiviert ist."
"Ticket #%s Created","Ticket #%s erstellt"
"To generate a token, log in to Zendesk then select Manage > Channels > API > Token","Um ein Token zu generieren, melden Sie sich bei Zendesk an und wählen Sie dann „Verwalten“ > „Kanäle“ > „API“ > „Token“."
"Troubleshooting tips can be found at <a href="%s">%s</a>","Tipps zur Fehlerbehebung finden Sie unter <a href="%s">%s</a>."
"Twitter","Twitter"
"Type","Typ"
"Updated","Aktualisiert"
"Urgent","Dringend"
"Use Magento to manage admin and agent authentication.","Authentifizierung von Administratoren und Agenten über Magento verwalten."
"Use Magento to manage end-user authentication.","Authentifizierung von Endbenutzern über Magento verwalten."
"Use Magento to manage user authentication.","Benutzerauthentifizierung über Magento verwalten."
"Used to link order in Magento with tickets in Zendesk","Dient zur Verknüpfung der Bestellung in Magento mit Tickets in Zendesk"
"View All Tickets","Alle Tickets anzeigen"
"View ticket in Zendesk","Ticket in Zendesk anzeigen"
"Views to show on dashboards","Ansichten, die in Dashboards erscheinen sollen"
"Voice","Voice"
"Web Portal","Web-Portal"
"Zendesk Domain","Zendesk-Domäne"
"Zendesk Log Viewer","Zendesk-Protokollanzeige"
"Zendesk Order Number field ID","Zendesk-Bestellnummerfeld-ID"
"Zendesk SSO token not been set. Please add this to the settings page.","Zendesk-SSO-Token nicht festgelegt. Fügen Sie es zur Einstellungsseite hinzu."
"Zendesk allows your customers to contact you using the methods they prefer. Use the links below to configure the channels you would like to use.","Kunden können von Zendesk aus auf die gewünschte Weise mit Ihnen Kontakt aufnehmen. Konfigurieren Sie die Kanäle, die Sie verwenden möchten, über die unten stehenden Links."
"Zendesk domain not set. Please add this to the settings page.","Zendesk-Domäne nicht festgelegt. Fügen Sie sie zur Einstellungsseite hinzu."
