"English","Français (Canada)"
"API Details","Détails de l’API"
"API Enabled","API activée"
"API Token","Jeton API"
"API test connection failed","Échec de la connexion test à l’API"
"API test connection successful","Réussite de la connexion test à l’API"
"API","API"
"Agent Email Address","Adresse courriel de l’agent"
"Agent Token","Jeton de l’agent"
"Are you sure you want to clear the entire Zendesk log?","Voulez-vraiment effacer la totalité du journal Zendesk ?"
"Assignee","Assigné"
"Chat","Clavardage"
"Code to display Feedback Tab","Code pour afficher l’onglet de suggestions"
"Connection to Zendesk API failed","Échec de la connexion à l’API Zendesk"
"Connection to Zendesk API successful","Réussite de la connexion à l’API Zendesk"
"Create Ticket","Créer le billet"
"Create tickets from Contact Us form","Créer des billets à partir du formulaire Nous contacter"
"Customize Feedback Tab","Personnaliser l’onglet de suggestions"
"Dashboard","Tableau de bord"
"Decide which features you would like turned on in your Magento store.","Décidez des fonctionnalités que vous souhaitez activer dans votre magasin Magento."
"Description","Description"
"Display link to Zendesk in Magento footer","Afficher le lien vers Zendesk dans le bas de page Magento"
"Email","Courriel"
"Facebook","Facebook"
"Features","Fonctionnalités"
"Feedback Tab","Onglet de suggestions"
"File size too large - only showing the last %s lines. Click Download to retrieve the entire file.","Fichier trop volumineux – Seules les % dernières lignes sont affichées. Cliquez sur Télécharger pour récupérer la totalité du fichier."
"General settings that are required to connect Zendesk and Magento.","Paramètres généraux requis pour connecter Zendesk et Magento."
"General","Général"
"Generate","Générer"
"Group","Groupe"
"Haven't setup Zendesk yet? Follow our easy setup guide to start using Zendesk to support your customers.","Vous n’avez pas encore configuré Zendesk ? Suivez notre guide de configuration facile et commencez à utiliser Zendesk pour assister vos clients."
"High","Élevée"
"Incident","Incident"
"Launch Zendesk","Lancer Zendesk"
"Low","Basse"
"New Support Ticket","Nouveau billet d’assistance"
"New","Nouveau"
"No tickets found","Aucun billet trouvé"
"No views selected. Please select one or more from the settings page.","Aucune vue sélectionnée. Sélectionnez-en au moins une dans la page des paramètres."
"Normal","Normale"
"On-hold","En pause"
"Open","Ouvert"
"Order Number","Numéro de commande"
"Pending","En attente"
"Priority","Priorité"
"Problem","Problème"
"Question","Question"
"Remote Authentication Token","Jeton d’authentification à distance"
"Remote Authentication Token","Jeton d’authentification à distance"
"Requested","Création"
"Requester Email","Courriel du demandeur"
"Requester Name","Nom du demandeur"
"Requester Website","Site Web du demandeur"
"Requester","Demandeur"
"Required for Magento App inside Zendesk to work.","Requis pour que l’application Magento fonctionne dans Zendesk."
"Save Config","Enregistrer la configuration"
"Settings","Paramètres"
"Setup guide","Guide de configuration"
"Setup","Configuration"
"Show support tickets on admin dashboard","Afficher les billets d’assistance dans le tableau de bord d’administration"
"Show support tickets on customer view","Afficher les billets d’assistance dans la vue client"
"Show support tickets on order view","Afficher les billets d’assistance dans la vue commande"
"Single Sign-on - Admins and Agents","Connexion unique"
"Single Sign-on - End-users","Connexion unique – Utilisateurs finaux"
"Single Sign-on Enabled","Connexion unique activée"
"Single Sign-on Enabled","Connexion unique activée"
"Solved","Résolu"
"Status","Statut"
"Subject","Sujet"
"Successfully generated a new API token","Nouveau jeton API généré"
"Support Channels","Canaux d’assistance"
"Support Tickets","Billets d’assistance"
"Task","Tâche"
"Test Connection","Tester la connexion"
"The Zendesk log file has not been created. Check to see if logging has been enabled.","Le fichier journal Zendesk n’a pas été créé. Vérifiez que l’enregistrement est activé."
"Ticket #%s Created","Billet #%s créé"
"To generate a token, log in to Zendesk then select Manage > Channels > API > Token","Pour générer un jeton, connectez-vous à Zendesk, puis sélectionnez Gérer > Canaux > API > Jeton."
"Troubleshooting tips can be found at <a href="%s">%s</a>","Vous trouverez des conseils de dépannage sur <a href="%s">%s</a>"
"Twitter","Twitter"
"Type","Type"
"Updated","Mis à jour"
"Urgent","Urgente"
"Use Magento to manage admin and agent authentication.","Utilisez Magento pour gérer l’authentification des administrateurs et des agents."
"Use Magento to manage end-user authentication.","Utilisez Magento pour gérer l’authentification des utilisateurs finaux."
"Use Magento to manage user authentication.","Utilisez Magento pour gérer l’authentification des utilisateurs."
"Used to link order in Magento with tickets in Zendesk","Utilisé pour lier la commande dans Magento aux billets dans Zendesk"
"View All Tickets","Afficher tous les billets"
"View ticket in Zendesk","Afficher le billet dans Zendesk"
"Views to show on dashboards","Vues à afficher dans les tableaux de bord"
"Voice","Centre d’appels"
"Web Portal","Portail"
"Zendesk Domain","Domaine Zendesk"
"Zendesk Log Viewer","Afficheur du journal Zendesk"
"Zendesk Order Number field ID","ID de champ du numéro de commande Zendesk"
"Zendesk SSO token not been set. Please add this to the settings page.","Jeton de connexion unique Zendesk non configuré. Ajoutez-le à la page des paramètres."
"Zendesk allows your customers to contact you using the methods they prefer. Use the links below to configure the channels you would like to use.","Zendesk permet à vos clients de vous contacter en utilisant la méthode de leur choix. Utilisez les liens ci-dessous pour configurer les canaux que vous voulez utiliser."
"Zendesk domain not set. Please add this to the settings page.","Domaine Zendesk non configuré. Ajoutez-le à la page des paramètres."
