"English","Français"
"Required for Magento App inside Zendesk to work.","Requis pour que l’appli Magento fonctionne dans Zendesk."
"API Enabled","API activée"
"Generate","Générer"
"Successfully generated a new API token","Nouveau jeton API généré"
"API Details","Détails de l’API"
"API Token","Jeton API"
"Create tickets from Contact Us form","Créer des tickets à partir du formulaire Nous contacter"
"Decide which features you would like turned on in your Magento store.","Décidez des fonctionnalités que vous souhaitez activer dans votre magasin Magento."
"Code to display Feedback Tab","Code pour afficher l’onglet de suggestions"
"Customize Feedback Tab","Personnaliser l’onglet de suggestions"
"Zendesk Order Number field ID","ID de champ du numéro de commande Zendesk"
"Used to link order in Magento with tickets in Zendesk","Utilisé pour lier la commande dans Magento aux tickets dans Zendesk"
"Show support tickets on customer view","Afficher les tickets d’assistance dans la vue client"
"Show support tickets on admin dashboard","Afficher les tickets d’assistance dans le tableau de bord d’administration"
"Show support tickets on order view","Afficher les tickets d’assistance dans la vue commande"
"Features","Fonctionnalités"
"Views to show on dashboards","Vues à afficher dans les tableaux de bord"
"General settings that are required to connect Zendesk and Magento.","Paramètres généraux requis pour connecter Zendesk et Magento."
"Zendesk Domain","Domaine Zendesk"
"Agent Email Address","Adresse email de l’agent"
"Remote Authentication Token","Jeton d’authentification à distance"
"General","Général"
"Agent Token","Jeton de l’agent"
"To generate a token, log in to Zendesk then select Manage > Channels > API > Token","Pour générer un jeton, connectez-vous à Zendesk, puis sélectionnez Gérer > Canaux > API > Jeton."
"Haven't setup Zendesk yet? Follow our easy setup guide to start using Zendesk to support your customers.","Vous n’avez pas encore configuré Zendesk ? Suivez notre guide de configuration facile et commencez à utiliser Zendesk pour assister vos clients."
"Setup","Configuration"
"Use Magento to manage user authentication.","Utilisez Magento pour gérer l’authentification des utilisateurs."
"Single Sign-on","Connexion unique"
"API","API"
"Chat","Chat"
"Zendesk allows your customers to contact you using the methods they prefer. Use the links below to configure the channels you would like to use.","Zendesk permet à vos clients de vous contacter en utilisant la méthode de leur choix. Utilisez les liens ci-dessous pour configurer les canaux que vous voulez utiliser."
"Email","Email"
"Facebook","Facebook"
"Feedback Tab","Onglet de suggestions"
"Support Channels","Canaux d’assistance"
"Twitter","Twitter"
"Voice","Centre d’appels"
"Web Portal","Portail"
"Dashboard","Tableau de bord"
"Zendesk domain not set. Please add this to the settings page.","Domaine Zendesk non configuré. Ajoutez-le à la page des paramètres."
"Launch Zendesk","Lancer Zendesk"
"No views selected. Please select one or more from the settings page.","Aucune vue sélectionnée. Sélectionnez-en au moins une dans la page des paramètres."
"Zendesk SSO token not been set. Please add this to the settings page.","Jeton de connexion unique Zendesk non configuré. Ajoutez-le à la page des paramètres."
"Support Tickets","Tickets d’assistance"
"View all tickets","Afficher tous les tickets"
"View ticket in Zendesk","Afficher le ticket dans Zendesk"
"Assignee","Assigné"
"Create Ticket","Créer un ticket"
"Description","Description"
"Group","Groupe"
"New Support Ticket","Nouveau ticket d’assistance"
"No tickets found","Aucun ticket trouvé"
"Order number","Numéro de commande"
"Priority","Priorité"
"High","Élevée"
"Low","Basse"
"Normal","Normale"
"Urgent","Urgente"
"Requester Email","Email du demandeur"
"Requester Name","Nom du demandeur"
"Requester Website","Site Web du demandeur"
"Status","Statut"
"New","Nouveau"
"On-hold","En suspens"
"Open","Ouvert"
"Pending","En attente"
"Solved","Résolu"
"Subject","Sujet"
"Ticket #%s Created","Ticket #%s créé"
"Type","Type"
"Incident","Incident"
"Problem","Problème"
"Question","Question"
"Task","Tâche"
"Updated","Mis à jour"
