"English","日本語 (Japanese)"
"API Details","APIの詳細"
"API Enabled","API有効"
"API Token","APIトークン"
"API test connection failed","APIテスト接続が失敗しました"
"API test connection successful","APIテスト接続が成功しました"
"API","API"
"Agent Email Address","エージェントのメールアドレス"
"Agent Token","エージェントのトークン"
"Are you sure you want to clear the entire Zendesk log?","Zendeskログをすべて消去しますか?"
"Assignee","担当者"
"Chat","チャット"
"Code to display Feedback Tab","「フィードバック」タブを表示するコード"
"Connection to Zendesk API failed","Zendesk APIへの接続が失敗しました"
"Connection to Zendesk API successful","Zendesk APIへの接続が成功しました"
"Create Ticket","チケットを作成"
"Create tickets from Contact Us form","「お問い合わせください」からチケットを作成"
"Customize Feedback Tab","Feedbackタブをカスタマイズ"
"Dashboard","ダッシュボード"
"Decide which features you would like turned on in your Magento store.","Magentoストアで有効にする機能を決めてください。"
"Description","説明"
"Display link to Zendesk in Magento footer","MagentoフッターにZendeskへのリンクを表示"
"Email","メール"
"Facebook","Facebook"
"Features","機能"
"Feedback Tab","フィードバックタブ"
"File size too large - only showing the last %s lines. Click Download to retrieve the entire file.","ファイルサイズが大きすぎます - 最後の%s行のみ表示します。「ダウンロード」をクリックして、ファイル全体を取得してください。"
"General settings that are required to connect Zendesk and Magento.","ZendeskとMagentoを接続するために必要な一般的な設定。"
"General","全般"
"Generate","生成"
"Group","グループ"
"Haven't setup Zendesk yet? Follow our easy setup guide to start using Zendesk to support your customers.","まだZendeskを設定していませんか?簡単な設定ガイドに従って、Zendeskを使用した顧客サポートを開始してください。"
"High","高"
"Incident","事象"
"Launch Zendesk","Zendeskを起動"
"Low","低"
"New Support Ticket","新規サポートチケット"
"New","新規"
"No tickets found","該当するチケットがありません"
"No views selected. Please select one or more from the settings page.","ビューが選択されていません。1つ以上のビューを設定ページから選択してください。"
"Normal","普通"
"On-hold","待機中"
"Open","オープン"
"Order Number","注文番号"
"Pending","保留中"
"Priority","優先度"
"Problem","問題"
"Question","質問"
"Remote Authentication Token","リモート認証トークン"
"Remote Authentication Token","リモート認証トークン"
"Requested","要求日"
"Requester Email","リクエスタのメール"
"Requester Name","リクエスタ名"
"Requester Website","リクエスタのWebサイト"
"Requester","リクエスタ"
"Required for Magento App inside Zendesk to work.","Zendesk内でMagnetアプリが動作するために必要です。"
"Save Config","設定の保存"
"Settings","設定"
"Setup guide","設定ガイド"
"Setup","設定"
"Show support tickets on admin dashboard","adminダッシュボードにサポートチケットを表示します。"
"Show support tickets on customer view","カスタマービューにサポートチケットを表示"
"Show support tickets on order view","オーダービューにサポートチケットを表示"
"Single Sign-on - Admins and Agents","シングルサインオン – 管理者およびエージェント"
"Single Sign-on - End-users","シングルサインオン - エンドユーザー"
"Single Sign-on Enabled","シングルサインオン有効"
"Single Sign-on Enabled","シングルサインオン有効"
"Solved","解決済み"
"Status","ステータス"
"Subject","件名"
"Successfully generated a new API token","新しいAPIトークンが正しく作成されました"
"Support Channels","サポートチャネル"
"Support Tickets","サポートチケット"
"Task","タスク"
"Test Connection","テスト接続"
"The Zendesk log file has not been created. Check to see if logging has been enabled.","Zendeskログファイルが作成されませんでした。ログが有効になっていたか確認してください。"
"Ticket #%s Created","チケット#%sが作成されました"
"To generate a token, log in to Zendesk then select Manage > Channels > API > Token","トークンを生成するには、Zendeskにログインして、「管理」>「チャネル」>「API」>「トークン」を選択します"
"Troubleshooting tips can be found at <a href="%s">%s</a>","トラブルシューティングのヒントが<a href="%s">%s</a>にあります"
"Twitter","Twitter"
"Type","タイプ"
"Updated","最終更新日時"
"Urgent","緊急"
"Use Magento to manage admin and agent authentication.","Magentoを使用して、管理者およびエージェント認証を管理します。"
"Use Magento to manage end-user authentication.","Magentoを使用して、エンドユーザー認証を管理します。"
"Use Magento to manage user authentication.","Magentoを使用して、ユーザー認証を管理します。"
"Used to link order in Magento with tickets in Zendesk","Magentoでの注文をZendeskのチケットにリンクさせるために使用"
"View All Tickets","すべてのチケットを表示"
"View ticket in Zendesk","Zendeskのチケットを表示"
"Views to show on dashboards","ダッシュボードに表示するビュー"
"Voice","Voice"
"Web Portal","Webポータル"
"Zendesk Domain","Zendeskドメイン"
"Zendesk Log Viewer","Zendeskログビューア"
"Zendesk Order Number field ID","Zendesk注文番号フィールドID"
"Zendesk SSO token not been set. Please add this to the settings page.","Zendesk SSOトークンが設定されていません。設定ページにこれを追加してください。"
"Zendesk allows your customers to contact you using the methods they prefer. Use the links below to configure the channels you would like to use.","Zendeskでは、あなたのお客様が好きな方法で問い合わせることを可能にします。下のリンクをたどって、使用するチャネルを設定してください。"
"Zendesk domain not set. Please add this to the settings page.","Zendeskドメインが設定されていません。設定ページにこれを追加してください。"
