"English","Japanese"
"Required for Magento App inside Zendesk to work.","Zendesk内でMagnetアプリが動作するために必要です。"
"API Enabled","API有効"
"Generate","生成"
"Successfully generated a new API token","新しいAPIトークンが正しく作成されました"
"API Details","APIの詳細"
"API Token","APIトークン"
"Create tickets from Contact Us form","「お問い合わせください」からチケットを作成"
"Decide which features you would like turned on in your Magento store.","Magentoストアで有効にする機能を決めてください。"
"Code to display Feedback Tab","「フィードバック」タブを表示するコード"
"Customize Feedback Tab","「フィードバック」タブをカスタマイズ"
"Zendesk Order Number field ID","Zendesk注文番号フィールドID"
"Used to link order in Magento with tickets in Zendesk","Magentoでの注文をZendeskのチケットにリンクさせるために使用"
"Show support tickets on customer view","カスタマービューにサポートチケットを表示"
"Show support tickets on admin dashboard","adminダッシュボードにサポートチケットを表示します"
"Show support tickets on order view","オーダービューにサポートチケットを表示"
"Features","機能"
"Views to show on dashboards","ダッシュボードに表示するビュー"
"General settings that are required to connect Zendesk and Magento.","ZendeskとMagentoを接続するために必要な一般的な設定。"
"Zendesk Domain","Zendeskドメイン"
"Agent Email Address","エージェントの電子メールアドレス"
"Remote Authentication Token","リモート認証トークン"
"General","全般"
"Agent Token","エージェントのトークン"
"To generate a token, log in to Zendesk then select Manage > Channels > API > Token","トークンを生成するには、Zendeskにログインして、「管理」>「チャネル」>「API」>「トークン」を選択します"
"Haven't setup Zendesk yet? Follow our easy setup guide to start using Zendesk to support your customers.","まだZendeskを設定していませんか?簡単な設定ガイドに従って、Zendeskを使用した顧客サポートを開始してください。"
"Setup","設定"
"Use Magento to manage user authentication.","Magentoを使用して、ユーザー認証を管理します。"
"Single Sign-on","シングルサインオン"
"API","API"
"Chat","チャット"
"Zendesk allows your customers to contact you using the methods they prefer. Use the links below to configure the channels you would like to use.","Zendeskでは、あなたのお客様が好きな方法で問い合わせることを可能にします。下のリンクをたどって、使用するチャネルを設定してください。"
"Email","電子メール"
"Facebook","Facebook"
"Feedback Tab","フィードバックタブ"
"Support Channels","サポートチャネル"
"Twitter","Twitter"
"Voice","Voice"
"Web Portal","Webポータル"
"Dashboard","ダッシュボード"
"Zendesk domain not set. Please add this to the settings page.","Zendeskドメインが設定されていません。設定ページにこれを追加してください。"
"Launch Zendesk","Zendeskを起動"
"No views selected. Please select one or more from the settings page.","ビューが選択されていません。1つ以上のビューを設定ページから選択してください。"
"Zendesk SSO token not been set. Please add this to the settings page.","Zendesk SSOトークンが設定されていません。設定ページにこれを追加してください。"
"Support Tickets","サポートチケット"
"View All Tickets","すべてのチケットを表示"
"View ticket in Zendesk","Zendeskのチケットを表示"
"Assignee","担当者"
"Create Ticket","チケットを作成"
"Description","説明"
"Group","グループ"
"New Support Ticket","新規サポートチケット"
"No tickets found","該当するチケットがありません"
"Order Number","注文番号"
"Priority","優先度"
"High","高"
"Low","低"
"Normal","普通"
"Urgent","緊急"
"Requester Email","リクエスタの電子メール"
"Requester Name","リクエスタ名"
"Requester Website","リクエスタのWebサイト"
"Status","ステータス"
"New","新規"
"On-hold","待機中"
"Open","オープン"
"Pending","保留中"
"Solved","解決済み"
"Subject","件名"
"Ticket #%s Created","チケット#%sが作成されました"
"Type","タイプ"
"Incident","事象"
"Problem","問題"
"Question","質問"
"Task","タスク"
"Updated","最終更新日時"
