"English","한국어 (Korean)"
"API Details","API 세부 정보"
"API Enabled","API 사용"
"API Token","API 토큰"
"API test connection failed","API 연결 테스트에 실패했습니다"
"API test connection successful","API 연결 테스트에 성공했습니다"
"API","API"
"Agent Email Address","상담원 이메일 주소"
"Agent Token","상담원 토큰"
"Are you sure you want to clear the entire Zendesk log?","전체 Zendesk 로그를 지우시겠습니까?"
"Assignee","담당자"
"Chat","채팅"
"Code to display Feedback Tab","피드백 탭을 표시하는 코드"
"Connection to Zendesk API failed","Zendesk API 연결에 실패했습니다"
"Connection to Zendesk API successful","Zendesk API 연결에 성공했습니다"
"Create Ticket","티켓 만들기"
"Create tickets from Contact Us form","사용자 문의 양식에서 티켓 만들기"
"Customize Feedback Tab","피드백 탭 사용자 지정"
"Dashboard","대시보드"
"Decide which features you would like turned on in your Magento store.","Magento 스토어에서 설정하고자 하는 기능을 결정합니다."
"Description","설명"
"Display link to Zendesk in Magento footer","Magento 바닥글에 Zendesk에 대한 링크 표시"
"Email","이메일"
"Facebook","페이스북"
"Features","기능"
"Feedback Tab","피드백 탭"
"File size too large - only showing the last %s lines. Click Download to retrieve the entire file.","파일 크기가 너무 커서 마지막 %s개 행만 표시합니다. 전체 파일을 검색하려면 다운로드를 클릭하십시오."
"General settings that are required to connect Zendesk and Magento.","Zendesk와 Magento를 연결하는 데 필요한 일반 설정입니다."
"General","일반"
"Generate","생성"
"Group","그룹"
"Haven't setup Zendesk yet? Follow our easy setup guide to start using Zendesk to support your customers.","아직 Zendesk를 설정하지 않으셨습니까? 쉬운 설치 설명서를 따라 Zendesk를 설치하여 고객을 지원하십시오."
"High","높음"
"Incident","사건"
"Launch Zendesk","Zendesk 시작"
"Low","낮음"
"New Support Ticket","새 지원 티켓"
"New","신규"
"No tickets found","티켓을 찾을 수 없습니다"
"No views selected. Please select one or more from the settings page.","보기를 선택하지 않았습니다. 설정 페이지에서 하나 이상을 선택하십시오."
"Normal","보통"
"On-hold","대기"
"Open","등록"
"Order Number","주문 번호"
"Pending","보류"
"Priority","우선 순위"
"Problem","문제"
"Question","질문"
"Remote Authentication Token","원격 인증 토큰"
"Remote Authentication Token","원격 인증 토큰"
"Requested","요청"
"Requester Email","요청자 이메일"
"Requester Name","요청자 이름"
"Requester Website","요청자 웹사이트"
"Requester","요청자"
"Required for Magento App inside Zendesk to work.","Zendesk 내부 Magento 앱 작동을 위해 필요한 사항"
"Save Config","구성 저장"
"Settings","설정"
"Setup guide","설치 설명서"
"Setup","설정"
"Show support tickets on admin dashboard","관리자 대시보드에서 지원 티켓 표시"
"Show support tickets on customer view","고객 보기에서 지원 티켓 표시"
"Show support tickets on order view","주문 보기에서 지원 티켓 표시"
"Single Sign-on - Admins and Agents","관리자 및 상담원에 대한 통합 인증"
"Single Sign-on - End-users","최종 사용자에 대한 통합 인증"
"Single Sign-on Enabled","통합 인증 사용"
"Single Sign-on Enabled","통합 인증 사용"
"Solved","해결"
"Status","상태"
"Subject","제목"
"Successfully generated a new API token","성공적으로 새로운 API 토큰 생성"
"Support Channels","지원 채널"
"Support Tickets","지원 티켓"
"Task","작업"
"Test Connection","연결 테스트"
"The Zendesk log file has not been created. Check to see if logging has been enabled.","Zendesk 로그 파일이 만들어지 않았습니다. 로깅이 활성화되었는지를 확인하십시오."
"Ticket #%s Created","티켓 #%s을(를) 만들었습니다"
"To generate a token, log in to Zendesk then select Manage > Channels > API > Token","토큰을 생성하려면 Zendesk에 로그인한 후 관리 > 채널 > API > 토큰을 선택합니다."
"Troubleshooting tips can be found at <a href="%s">%s</a>","문제 해결 방법에 대한 팁을 <a href="%s">%s</a>에서 제공합니다"
"Twitter","트위터"
"Type","유형"
"Updated","업데이트됨"
"Urgent","긴급"
"Use Magento to manage admin and agent authentication.","관리자 및 상담원 인증을 관리하려면 Magento를 사용하십시오."
"Use Magento to manage end-user authentication.","최종 사용자 인증을 관리하려면 Magento를 사용하십시오."
"Use Magento to manage user authentication.","사용자 인증을 관리하려면 Magento를 사용하십시오."
"Used to link order in Magento with tickets in Zendesk","Magento의 주문과 Zendesk의 티켓 연결에 사용됩니다."
"View All Tickets","모든 티켓 보기"
"View ticket in Zendesk","Zendesk의 티켓 보기"
"Views to show on dashboards","대시보드에 표시할 보기"
"Voice","음성"
"Web Portal","웹 포털"
"Zendesk Domain","Zendesk 도메인"
"Zendesk Log Viewer","Zendesk 로그 뷰어"
"Zendesk Order Number field ID","Zendesk 주문 번호 필드 ID"
"Zendesk SSO token not been set. Please add this to the settings page.","Zendesk SSO 토큰이 설정되지 않았습니다. Zendesk SSO 토큰을 설정 페이지에 추가하십시오."
"Zendesk allows your customers to contact you using the methods they prefer. Use the links below to configure the channels you would like to use.","Zendesk를 통해 고객들이 원하는 방법을 사용하여 귀사에 연락할수 있습니다. 사용하고자하는 채널을 구성하려면 아래 링크를 사용하십시오."
"Zendesk domain not set. Please add this to the settings page.","Zendesk 도메인이 설정되지 않았습니다. Zendesk 도메인을 설정 페이지에 추가하십시오."
