"English","Русский"
"API Details","Сведения об API"
"API Enabled","API включен"
"API Token","Маркер API"
"API test connection failed","Не удалось проверить подключение к API"
"API test connection successful","Проверка подключения к API успешно выполнена"
"API","API"
"Agent Email Address","Адрес эл. почты агента"
"Agent Token","Маркер агента"
"Are you sure you want to clear the entire Zendesk log?","Удалить весь журнал Zendesk?"
"Assignee","Исполнитель"
"Chat","Чат"
"Code to display Feedback Tab","Код для отображения вкладки обратной связи"
"Connection to Zendesk API failed","Не удалось подключиться к Zendesk API"
"Connection to Zendesk API successful","Подключение к Zendesk API успешно выполнено"
"Create Ticket","Создать тикет"
"Create tickets from Contact Us form","Создание тикетов из формы «Обратитесь к нам»"
"Customize Feedback Tab","Настроить вкладку обратной связи"
"Dashboard","Панель управления"
"Decide which features you would like turned on in your Magento store.","Определите, какие функции будут использоваться в вашем магазине Magento."
"Description","Описание"
"Display link to Zendesk in Magento footer","Показывать ссылку на Zendesk в нижнем колонтитуле Magento"
"Email","Почта"
"Facebook","Facebook"
"Features","Функции"
"Feedback Tab","Вкладка обратной связи"
"File size too large - only showing the last %s lines. Click Download to retrieve the entire file.","Слишком большой файл - отображаются только последние %s строк. Для получения всего файла нажмите «Загрузить»."
"General settings that are required to connect Zendesk and Magento.","Основные настройки, необходимые для соединения Zendesk и Magento."
"General","Общие"
"Generate","Создать"
"Group","Группа"
"Haven't setup Zendesk yet? Follow our easy setup guide to start using Zendesk to support your customers.","Вы еще не настроили Zendesk? Выполните простые инструкции по настройке, и Zendesk начнет поддержку ваших клиентов."
"High","Срочный"
"Incident","Инцидент"
"Launch Zendesk","Запустить Zendesk"
"Low","Низкий"
"New Support Ticket","Новый тикет поддержки"
"New","Новый"
"No tickets found","Тикеты не найдены"
"No views selected. Please select one or more from the settings page.","Не выбран ни один вид. Выберите вид(ы) на странице настроек."
"Normal","Нормальный"
"On-hold","На удержании"
"Open","Открыт"
"Order Number","Номер заказа"
"Pending","В ожидании"
"Priority","Приоритет"
"Problem","Проблема"
"Question","Вопрос"
"Remote Authentication Token","Маркер удаленной проверки подлинности"
"Remote Authentication Token","Маркер удаленной проверки подлинности"
"Requested","Запрошен"
"Requester Email","Адрес эл. почты инициатора"
"Requester Name","Имя инициатора"
"Requester Website","Веб-сайт инициатора"
"Requester","Инициатор"
"Required for Magento App inside Zendesk to work.","Требуется для работы приложения Magento в Zendesk."
"Save Config","Сохранить конфигурацию"
"Settings","Настройки"
"Setup guide","Руководство по установке"
"Setup","Настройка"
"Show support tickets on admin dashboard","Показывать тикеты поддержки на панели администратора"
"Show support tickets on customer view","Показывать тикеты поддержки в окне пользователей"
"Show support tickets on order view","Показывать тикеты поддержки в окне заказов"
"Single Sign-on - Admins and Agents","Сквозная авторизация - администраторы и агенты"
"Single Sign-on - End-users","Сквозная авторизация - конечные пользователи"
"Single Sign-on Enabled","Сквозная авторизация включена"
"Single Sign-on Enabled","Сквозная авторизация включена"
"Solved","Выполнен"
"Status","Статус"
"Subject","Тема"
"Successfully generated a new API token","Новый маркер API успешно создан"
"Support Channels","Каналы поддержки"
"Support Tickets","Тикеты поддержки"
"Task","Задача"
"Test Connection","Проверка подключения"
"The Zendesk log file has not been created. Check to see if logging has been enabled.","Файл журнала Zendesk не создан. Проверьте, включено ли ведение журнала."
"Ticket #%s Created","Тикет #%s создан"
"To generate a token, log in to Zendesk then select Manage > Channels > API > Token","Для создания маркера войдите в Zendesk и выберите команды «Управление > Каналы > API > Маркер»"
"Troubleshooting tips can be found at <a href="%s">%s</a>","Советы по устранению неполадок см. на странице <a href="%s">%s</a>"
"Twitter","Twitter"
"Type","Тип"
"Updated","Обновлен"
"Urgent","Экстренный"
"Use Magento to manage admin and agent authentication.","Используйте Magento для управления авторизацией агентов и конечных пользователей."
"Use Magento to manage end-user authentication.","Используйте Magento для управления проверкой подлинности конечных пользователей."
"Use Magento to manage user authentication.","Используйте Magento для управления проверкой подлинности пользователей."
"Used to link order in Magento with tickets in Zendesk","Используется для связи заказа в Magento с тикетами в Zendesk"
"View All Tickets","Посмотреть все тикеты"
"View ticket in Zendesk","Посмотреть тикет в Zendesk"
"Views to show on dashboards","Виды для отображения на панелях"
"Voice","Voice"
"Web Portal","Веб-портал"
"Zendesk Domain","Домен Zendesk"
"Zendesk Log Viewer","Просмотр журналов Zendesk"
"Zendesk Order Number field ID","Код поля номера заказа Zendesk"
"Zendesk SSO token not been set. Please add this to the settings page.","Маркер сквозной авторизации Zendesk не задан. Укажите его на странице настроек."
"Zendesk allows your customers to contact you using the methods they prefer. Use the links below to configure the channels you would like to use.","Zendesk позволяет вашим пользователям общаться друг с другом, используя предпочитаемые ими методы. С помощью приведенных ниже ссылок настройте каналы, которые хотите использовать."
"Zendesk domain not set. Please add this to the settings page.","Домен Zendesk не задан. Укажите его на странице настроек."
